Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,CO,0.287,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,CR,1.29,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,CR2O3,1.882,%,CPL,,,,,,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,CU,8.04,%,QWL,7.98,8.064110032,8.21,8.064110032,8.44,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,FE,32.43,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900576,ICP_CBM_B,NI,11.69,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,5/22/2023 15:50
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,AU,13.1658,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,IR,5.9475,PPM,CPL,5.3,5.475533981,5.78,5.475533981,6.26,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,PD,145.1472,PPM,QWH,135.52,137.5825243,141.16,137.5825243,146.79,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,PT,129.6323,PPM,QWH,120.05,122.1527508,125.8,122.1527508,131.55,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,RH,19.5208,PPM,CPL,18.44,18.79106796,19.4,18.79106796,20.35,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903510,ICP_CPGM_A,RU,27.8325,PPM,CPL,27.07,27.47226537,28.17,27.47226537,29.26,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903502,ICP_CBM_A,CO,0.289,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,6/8/2023 9:35
